LSOA11CD,total_population,imd_score,imd_decile,income_score,health_score,crime_score
E01000001,1296,6.208,9,0.007,-1.654,-2.012
E01000002,1156,5.143,10,0.034,-1.115,-2.343
E01000003,1350,19.402,5,0.086,-0.102,-1.032
E01000005,1121,28.652,3,0.211,-0.121,-1.317
E01000006,2040,19.837,5,0.117,-0.359,-0.147
E01000007,2101,31.576,3,0.207,-0.027,0.846
E01000008,1566,37.596,2,0.265,0.25,0.353
E01000009,1775,32.844,3,0.187,0.454,0.895
E01000010,3195,32.437,3,0.169,-0.002,1.214
E01000011,1670,30.679,3,0.167,-0.137,0.526
E01000012,2023,34.714,2,0.239,-0.056,0.542
E01000013,1747,38.997,2,0.213,0.67,1.199
E01000014,1669,35.67,2,0.201,0.35,0.825
E01000015,2372,33.632,2,0.216,0.025,0.372
E01000016,1750,32.839,3,0.199,0.373,0.528
E01000017,1516,39.004,2,0.25,0.694,0.317
E01000018,1791,33.406,2,0.212,0.273,0.457
E01000019,1498,33.62,2,0.194,0.477,0.645
E01000020,1947,36.035,2,0.216,0.76,0.651
E01000021,1682,38.888,2,0.23,0.418,0.559
E01000022,1372,34.413,2,0.195,0.427,0.506
E01000023,2791,36.877,2,0.228,0.033,1.286
E01000024,1535,29.339,3,0.155,0.263,0.244
E01000025,1637,36.702,2,0.219,0.395,0.837
E01000027,1858,37.347,2,0.216,0.148,1.042
E01000028,1629,40.078,2,0.26,1.138,-0.111
E01000029,1737,22.503,4,0.113,-0.28,0.35
E01000030,2155,38.415,2,0.264,0.016,0.499
E01000031,1716,22.672,4,0.126,0.046,0.919
E01000032,1755,29.958,3,0.146,0.095,0.913
E01000033,1520,37.978,2,0.257,0.278,0.162
E01000034,1502,35.895,2,0.216,0.661,0.302
E01000035,1799,26.175,4,0.15,0.397,0.242
E01000036,1493,19.27,5,0.112,-0.185,0.386
E01000037,1931,17.988,5,0.096,-0.504,-0.067
E01000038,1446,19.646,5,0.127,-0.103,0.204
E01000039,1657,22.288,4,0.127,0.173,0.092
E01000040,1711,34.608,2,0.218,0.155,0.607
E01000041,1755,33.173,3,0.172,0.349,0.432
E01000042,1986,41.573,2,0.263,0.526,0.263
E01000043,1516,28.075,3,0.147,0.044,0.574
E01000044,1895,28.389,3,0.133,-0.41,1.077
E01000045,1710,35.688,2,0.188,0.279,1.214
E01000046,1963,29.763,3,0.17,0.222,-0.026
E01000048,1757,44.704,1,0.341,0.495,0.246
E01000049,1923,41.172,2,0.29,0.409,0.376
